_id,Unnamed: 0,Title,Date_of_Release,Rating,Description,Up_System
79,79,Battle Royale,2000,7.7,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",CM
80,80,Erin Brockovich,2000,7.3,An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply.,CM
81,81,High Fidelity,2000,7.5,"Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.",CM
82,82,Road Trip,2000,6.5,Four college buddies embark on a road trip to retrieve an illicit tape mistakenly mailed to a female friend.,CM
83,83,The Perfect Storm,2000,6.4,An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.,CM
84,84,"Dude, Where's My Car?",2000,5.5,Two potheads wake up after a night of partying and cannot remember where they parked their car.,CM
85,85,Hollow Man,2000,5.7,"When the leader of a team of scientists volunteers to be the test subject for their experiment in human invisibility, he slowly unravels and turns against them, with horrific consequences.",CM
86,86,Billy Elliot,2000,7.7,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.,CM
87,87,Scream 3,2000,5.6,"While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them.",CM
88,88,Shanghai Noon,2000,6.6,"A Chinese man travels to the Wild West to rescue a kidnapped Princess. After teaming up with a train robber, the unlikely duo takes on a Chinese traitor and his corrupt boss.",CM
89,89,The 6th Day,2000,5.9,Futuristic action about a man who meets a clone of himself and stumbles into a grand conspiracy about clones taking over the world.,CM
90,90,What Lies Beneath,2000,6.6,The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.,CM
91,91,Pay It Forward,2000,7.2,A young boy attempts to make the world a better place after his teacher gives him that chance.,CM
92,92,In the Mood for Love,2000,8.1,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",CM
93,93,The Whole Nine Yards,2000,6.7,"A struggling dentist's life is turned upside down when a famous gangster moves in next door, and his wife convinces him to inform a notorious mob boss about the gangster's whereabouts.",CM
94,94,Coyote Ugly,2000,5.7,"Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell.",CM
95,95,Men of Honor,2000,7.2,"The story of Carl Brashear, the first African-American U.S. Navy Diver, and the man who trained him.",CM
96,96,The Family Man,2000,6.8,"A fast-lane investment broker, offered the opportunity to see how the other half lives, wakes up to find that his sports car and girlfriend have become a mini-van and wife.",CM
97,97,Frequency,2000,7.4,"An accidental cross-time radio link connects father and son across 30 years. The son tries to save his father's life, but then must fix the consequences.",CM
